date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:42	3915/3915	---M--	200	added ('OK')	image/gif	etag:%22d5b3fe95080516adc88ab2acb2c4f1d7%22	http://cdn.taboola.com/static/91/9117a6d9-cbf1-4ea6-8caa-7461ce6554bc.gif	D:/web/Vikramnantha/cdn.taboola.com/static/91/9117a6d9-cbf1-4ea6-8caa-7461ce6554bc.gif	(from )
17:00:42	453878/453878	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/impl.20200507-29-RELEASE.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/impl.20200507-29-RELEASE.js.download	(from )
17:00:42	44311/44311	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/gpt.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/gpt.js.download	(from )
17:00:42	243/243	--FM--	200	added ('OK')	text/plain		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/f(7).txt	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/f(7).txt	(from )
17:00:42	82506/82506	--FM--	200	added ('OK')	application/octet-stream		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/js	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/js	(from )
17:00:42	248355/248355	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/pubads_impl_2020050602.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/pubads_impl_2020050602.js.download	(from )
17:00:42	96591/96591	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/zee-english-nn.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/zee-english-nn.js.download	(from )
17:00:42	358478/358478	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/loader.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/loader.js.download	(from )
17:00:42	42319/42319	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/cc.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/cc.js.download	(from )
17:00:42	442/442	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/zn_pwa_serviceworker.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/zn_pwa_serviceworker.js.download	(from )
17:00:42	5931/5931	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/common.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/common.js.download	(from )
17:00:42	49879/49879	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/adRecover.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/adRecover.js.download	(from )
17:00:42	121845/121845	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/qazy.min.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/qazy.min.js.download	(from )
17:00:42	677/677	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/afph.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/afph.js.download	(from )
